phase,time_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,stroke_volume_mL,systemic_vascular_resistance_mmHg_s_mL,blood_volume_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,pulse_pressure_mmHg
post,908.6999999994636,142.2856473184306,82.92922354620109,113.66830301812524,72.01592240737544,4.414816018520995,61.303332248492524,1.4951444194968442,5485.873808261934,0.9992923802244343,0.999964261627497,0.9996594065267799,1.0001028395970002,59.356423772229505
post,909.6999999994626,142.29395409700527,82.93110131541401,113.67459305254533,72.01553539888404,4.4151569790026315,61.30839623072565,1.495115452198785,5485.872236139157,0.9992619012346056,0.999962722284576,0.9996441505357553,1.0001077863612864,59.36285278159126
post,910.6999999994617,142.29606048441843,82.93606319760987,113.676819216148,72.01503346157641,4.415013196977973,61.30682698819547,1.495194991519009,5485.872027054618,0.9991836210469023,0.9999587687397425,0.9996092827520976,1.0001177293384664,59.359997286808564
post,911.6999999994608,142.2961412910879,82.93731504889647,113.67698606765907,72.01435519599504,4.41492726621036,61.3062111601867,1.4952265278655659,5485.873441597999,0.9990989139458035,0.9999544906033233,0.9995713672799033,1.0001285686881582,59.35882624219144
post,912.6999999994599,142.2833135886544,82.92508661992167,113.66665499061962,72.01285839026903,4.4145864126158045,61.30275219310472,1.4952021393899233,5485.876193541481,0.999173052107192,0.9999582349549087,0.9995976878299777,1.0001233588454612,59.35822696873274
post,913.699999999459,142.28642879022627,82.93228376534128,113.67023439120067,72.01228967400084,4.414347564987514,61.299919568885194,1.4953325996869975,5485.877565957887,0.9991848986595797,0.9999588332656353,0.9995992937492777,1.000124234449238,59.354145024884986
post,914.6999999994581,142.2950865213797,82.93519507008256,113.67687742631952,72.01171483004457,4.414655368780059,61.30468326159324,1.4953196364006134,5485.876133938093,0.9991410803291603,0.9999566202186442,0.999578440934099,1.0001307346386692,59.35989145129713
post,915.6999999994572,142.29698435760412,82.94018134096844,113.6788949346433,72.0109896453289,4.4144945917039085,61.30306795457658,1.4954020807179245,5485.875553384851,0.9990475072972376,0.9999518943079412,0.9995370961507325,1.0001424741823548,59.35680301663568
post,916.6999999994563,142.29665266155342,82.94109448778704,113.67866361452113,72.01005994976252,4.414394136848144,61.30246440466547,1.495433096986279,5485.876668027652,0.9989512839254617,0.9999470345416895,0.9994941490710707,1.0001547699845788,59.35555817376638
post,917.6999999994554,142.2822828137947,82.92423459873481,113.66667925343992,72.0081629296583,4.414138372120939,61.300527503151585,1.495357434796481,5485.879184465987,0.9990629242164796,0.9999526729402255,0.9995353007790739,1.0001460380020548,59.35804821505988
post,918.6999999994545,142.28714715057188,82.93519494158672,113.6720733155385,72.00747942587532,4.413814578764691,61.29661271240973,1.4955413799465318,5485.881503025653,0.9990776016328624,0.9999534142238812,0.999537924279261,1.000146796038076,59.35195220898517
post,919.6999999994536,142.29617314918235,82.93915756047294,113.67908829387432,72.00676285730955,4.414091597425232,61.30106981995995,1.4955438797763192,5485.880478598329,0.9990216023602926,0.9999505859777916,0.9995119905936533,1.0001547109069258,59.357015588709416
post,920.6999999994526,142.2978781664869,82.94419204243567,113.68091516657469,72.0058604603776,4.41391591625196,61.299398243852515,1.4956287728378412,5485.879541969622,0.9989131562620995,0.9999451089021254,0.999464390643825,1.0001681802694158,59.35368612405122
post,921.6999999994517,142.29714635925782,82.94478701534901,113.68030007838875,72.00472486264947,4.4138030738371485,61.29879785328769,1.4956587467022742,5485.880339196484,0.9988054746697105,0.9999396704378631,0.9994164872992686,1.0001819020222908,59.352359343908816
post,922.6999999994508,142.256089503955,82.94381815509581,113.65147142738654,72.00336812500683,4.41136205766554,61.26605147146541,1.4960943132306157,5485.88260574497,0.998952998500164,0.999947121136371,0.9994718398592638,1.0001698005030055,59.312271348859184
