target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
130,90,True,1.5006928388470326,0.8309418661654581,130.0,89.99999999999999,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,ok,181.0144938628655,129.9711694477868,89.990072006866,111.08205744567795,39.984274231345644,72.01073246441766,4.585376527347565,-0.02883055221320774,-0.00992799313399928,0.030492061074765583,True
130,95,True,1.6,0.9402420255940995,129.44897494064924,94.86141821571114,-0.5510250593507635,-0.13858178428885992,0.5681844128178778,ok,179.37024569697678,129.44569917262749,94.87610466406122,113.12717072166717,34.57065354089305,72.01382800978362,4.391224918401548,-0.554300827372515,-0.12389533593878355,0.5679783987910444,True
130,100,False,,,,,,,,,,,,,,,,,,,False
130,105,False,,,,,,,,,,,,,,,,,,,False
130,110,False,,,,,,,,,,,,,,,,,,,False
130,115,False,,,,,,,,,,,,,,,,,,,False
130,120,False,,,,,,,,,,,,,,,,,,,False
130,125,False,,,,,,,,,,,,,,,,,,,False
135,45,False,,,,,,,,,,,,,,,,,,,False
135,50,False,,,,,,,,,,,,,,,,,,,False
135,55,False,,,,,,,,,,,,,,,,,,,False
135,60,False,,,,,,,,,,,,,,,,,,,False
135,65,False,,,,,,,,,,,,,,,,,,,False
135,70,True,1.222459150664789,0.5129545031380969,135.0,70.0,0.0,0.0,0.0,ok,130.87148286495358,134.97359866763787,70.09215586413731,103.69387665943589,64.88303718977646,72.01074663251799,5.216988406635473,-0.02640133236212705,0.09215586413731103,0.09586309845498436,True
135,75,True,1.3209105046714749,0.5544532598594867,135.0,74.99999999999999,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,ok,126.67937820288353,134.99415671928858,75.02111452024627,106.52999816764392,59.973256471488206,72.01308906043408,4.987916178718276,-0.005843280711417265,0.021114520246271695,0.021908146765590154,True
135,80,True,1.4056958391044398,0.5933388485206056,135.00000000000003,80.0,2.842170943040401e-14,0.0,2.842170943040401e-14,ok,121.50161114498042,134.96551892006835,79.97434688533387,108.75419276095245,54.993026032191565,72.0137674759603,4.805402669723835,-0.03448107993165195,-0.025653114666127408,0.042977053939590275,True
135,85,True,1.4875322362704806,0.6385659949592957,135.0,84.99999999999999,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,ok,186.52542316098697,135.00074731194508,85.05757272096312,111.04267603402707,49.94547836443961,72.01073223142893,4.619962665324541,0.0007473119450764898,0.05757272096312249,0.057577570930361574,True
135,90,True,1.6,0.7062222401332221,134.78758658615533,90.0324130286611,-0.21241341384467205,0.03241302866109663,0.21487220110598995,ok,199.02743040095083,134.79925829247145,90.06733983948914,113.59302985949714,44.73545971475573,72.01083444057967,4.399509254874298,-0.20074170752855025,0.06733983948913647,0.21173541773614699,True
135,95,False,,,,,,,,,,,,,,,,,,,False
135,100,False,,,,,,,,,,,,,,,,,,,False
135,105,False,,,,,,,,,,,,,,,,,,,False
135,110,False,,,,,,,,,,,,,,,,,,,False
135,115,False,,,,,,,,,,,,,,,,,,,False
135,120,False,,,,,,,,,,,,,,,,,,,False
135,125,False,,,,,,,,,,,,,,,,,,,False
140,45,False,,,,,,,,,,,,,,,,,,,False
140,50,False,,,,,,,,,,,,,,,,,,,False
140,55,False,,,,,,,,,,,,,,,,,,,False
