domain,target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier
calibration_extended,120,80,True,1.1549124261720758,0.947706954851272
calibration_extended,120,85,False,,
calibration_extended,120,90,False,,
calibration_extended,120,95,False,,
calibration_extended,120,100,False,,
calibration_extended,120,105,False,,
calibration_extended,120,110,False,,
calibration_extended,120,115,False,,
calibration_extended,120,120,False,,
calibration_extended,120,125,False,,
calibration_extended,120,130,False,,
calibration_extended,120,135,False,,
calibration_extended,120,140,False,,
calibration_extended,125,40,False,,
calibration_extended,125,45,False,,
calibration_extended,125,50,False,,
calibration_extended,125,55,False,,
calibration_extended,125,60,False,,
calibration_extended,125,65,True,1.001539471722842,0.6220506170529648
calibration_extended,125,70,True,1.0700374046981875,0.6720342630515159
calibration_extended,125,75,True,1.155693309552986,0.7388068458962561
calibration_extended,125,80,True,1.2320607214479735,0.8034615948507343
calibration_extended,125,85,True,1.30489410157714,0.8847863709940559
calibration_extended,125,90,True,1.4115731695771898,0.9960542257926673
calibration_extended,125,95,False,,
calibration_extended,125,100,False,,
calibration_extended,125,105,False,,
calibration_extended,125,110,False,,
calibration_extended,125,115,False,,
calibration_extended,125,120,False,,
calibration_extended,125,125,False,,
calibration_extended,125,130,False,,
calibration_extended,125,135,False,,
calibration_extended,125,140,False,,
calibration_extended,130,40,False,,
calibration_extended,130,45,False,,
calibration_extended,130,50,False,,
calibration_extended,130,55,False,,
calibration_extended,130,60,False,,
calibration_extended,130,65,True,1.0697181709719987,0.5452456792636011
calibration_extended,130,70,True,1.1430264061387518,0.5857579542835298
calibration_extended,130,75,True,1.2352271706813767,0.6380220360031391
calibration_extended,130,80,True,1.3146486422402837,0.6882152756416342
calibration_extended,130,85,True,1.3845280588493845,0.7487199597288663
calibration_extended,130,90,True,1.500692838847033,0.8309418661654581
calibration_extended,130,95,True,1.607185403246279,0.9325091266072819
calibration_extended,130,100,False,,
calibration_extended,130,105,False,,
calibration_extended,130,110,False,,
calibration_extended,130,115,False,,
calibration_extended,130,120,False,,
calibration_extended,130,125,False,,
calibration_extended,130,130,False,,
calibration_extended,130,135,False,,
calibration_extended,130,140,False,,
calibration_extended,135,40,False,,
calibration_extended,135,45,False,,
calibration_extended,135,50,False,,
calibration_extended,135,55,False,,
calibration_extended,135,60,False,,
calibration_extended,135,65,True,1.1634204818397975,0.4815472256522126
calibration_extended,135,70,True,1.222459150664789,0.5129545031380969
calibration_extended,135,75,True,1.3209105046714749,0.5544532598594867
calibration_extended,135,80,True,1.4056958391044398,0.5933388485206057
calibration_extended,135,85,True,1.4875322362704806,0.6385659949592957
calibration_extended,135,90,True,1.6032251721110389,0.7008751804009471
calibration_extended,135,95,True,1.7345605788248903,0.8210651465990753
calibration_extended,135,100,False,,
calibration_extended,135,105,False,,
calibration_extended,135,110,False,,
calibration_extended,135,115,False,,
calibration_extended,135,120,False,,
calibration_extended,135,125,False,,
calibration_extended,135,130,False,,
calibration_extended,135,135,False,,
calibration_extended,135,140,False,,
calibration_extended,140,40,False,,
calibration_extended,140,45,False,,
calibration_extended,140,50,False,,
calibration_extended,140,55,False,,
calibration_extended,140,60,False,,
calibration_extended,140,65,False,,
calibration_extended,140,70,True,1.337873065132364,0.45322585338986643
calibration_extended,140,75,True,1.4157319588990518,0.48577872318885007
calibration_extended,140,80,True,1.4868038628134888,0.5159186357874087
calibration_extended,140,85,True,1.5902545101622105,0.548401080453838
calibration_extended,140,90,True,1.728644394632552,0.5973224136613554
calibration_extended,140,95,False,,
calibration_extended,140,100,False,,
calibration_extended,140,105,False,,
calibration_extended,140,110,False,,
calibration_extended,140,115,False,,
calibration_extended,140,120,False,,
calibration_extended,140,125,False,,
calibration_extended,140,130,False,,
calibration_extended,140,135,False,,
calibration_extended,140,140,False,,
calibration_extended,145,40,False,,
calibration_extended,145,45,False,,
calibration_extended,145,50,False,,
calibration_extended,145,55,False,,
calibration_extended,145,60,False,,
calibration_extended,145,65,False,,
calibration_extended,145,70,False,,
calibration_extended,145,75,True,1.5187378378243634,0.4254877990637513
calibration_extended,145,80,True,1.6063115464559585,0.45241566483984474
calibration_extended,145,85,True,1.713860291924088,0.4775087552049174
